"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"9V Snap";1;"9V Battery";;;
2;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
3;"C1,C3,C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
4;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
5;"C6,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"18pF";;;
6;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"STAR_LED";;;
7;"D2,D3,D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"LED_Y";;;
8;"D5,D6";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED_R";;;
9;"D7,D8";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED_G";;;
10;"D9,D10";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED_B";;;
11;"J1";"PinHeader_1x06_P1.00mm_Vertical";1;"Conn_01x06_Female";;;
12;"R1,R2,R3,R4,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"100";;;
13;"R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
14;"R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7k";;;
15;"R9,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330";;;
16;"SW1";"SW_SPDT_CK-JS102011SAQN";1;"Power Switch";;;
17;"U2";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
18;"U3";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
19;"Y1";"Crystal_SMD_FOX_FQ7050-2Pin_7.0x5.0mm_HandSoldering";1;"16MHz";;;
20;"TP1,TP2,TP3";"TestPoint_Pad_D4.0mm";3;"TestPoint";;;
